,Time,Treatment,Treat,Feedback
128,2,MB,MB2,-0.012903405
129,2,MF,MF2,-0.007168489
130,2,MF,MF2,0.14698219
131,2,MF,MF2,-0.059354243
132,2,MF,MF2,-0.035339366
133,2,MF,MF2,0.078545029
134,2,MF,MF2,0.025502293
135,2,MF,MF2,-0.108951184
136,2,MF,MF2,-0.115382074
137,2,MF,MF2,-0.664976304
138,2,MF,MF2,-0.510825624
139,2,MF,MF2,-0.717162057
140,2,MF,MF2,-0.693147181
141,2,MF,MF2,-0.579262785
142,2,MF,MF2,-0.632305521
143,2,MF,MF2,-0.766758998
144,2,MF,MF2,-0.773189888
145,2,MF,MF2,-0.39834764
146,2,MF,MF2,-0.244196961
147,2,MF,MF2,-0.450533394
148,2,MF,MF2,-0.426518517
149,2,MF,MF2,-0.312634122
150,2,MF,MF2,-0.365676858
151,2,MF,MF2,-0.500130335
152,2,MF,MF2,-0.506561225
153,2,MF,MF2,-0.393042588
154,2,MF,MF2,-0.238891908
155,2,MF,MF2,-0.445228341
156,2,MF,MF2,-0.421213465
157,2,MF,MF2,-0.30732907
158,2,MF,MF2,-0.360371806
159,2,MF,MF2,-0.494825282
160,2,MF,MF2,-0.501256173
161,2,MF,MF2,0.028170877
162,2,MF,MF2,0.182321557
163,2,MF,MF2,-0.024014876
164,2,MF,MF2,0
165,2,MF,MF2,0.113884395
166,2,MF,MF2,0.060841659
167,2,MF,MF2,-0.073611817
168,2,MF,MF2,-0.080042708
169,2,MF,MF2,-0.093526058
170,2,MF,MF2,0.060624622
171,2,MF,MF2,-0.145711811
172,2,MF,MF2,-0.121696935
173,2,MF,MF2,-0.00781254
174,2,MF,MF2,-0.060855276
175,2,MF,MF2,-0.195308752
176,2,MF,MF2,-0.201739643
177,2,MF,MF2,-0.158326051
178,2,MF,MF2,-0.004175371
179,2,MF,MF2,-0.210511804
180,2,MF,MF2,-0.186496928
181,2,MF,MF2,-0.072612533
182,2,MF,MF2,-0.125655269
183,2,MF,MF2,-0.260108746
184,2,MF,MF2,-0.266539636
185,2,MF,MF2,-0.091567194
186,2,MF,MF2,0.062583486
187,2,MF,MF2,-0.143752947
188,2,MF,MF2,-0.11973807
189,2,MF,MF2,-0.005853675
190,2,MF,MF2,-0.058896411
191,2,MF,MF2,-0.193349888
192,2,MF,MF2,-0.199780778
196,3,MN,MN3,-0.516417437
199,3,MN,MN3,-0.449149047
200,3,MN,MN3,-0.420921366
